trade_id,strategy,date,time,pair,direction,result,rr,duration,sl_size,exit_reason
20,EMA-Cross-H4F,01/12/2017,12:30,BTC,Long,TP,7.18,196h,518.38,H1_EMA100
21,EMA-Cross-H4F,10/12/2017,16:00,BTC,Long,SL,-0.57,6h,1563.74,H1_EMA100
22,EMA-Cross-H4F,13/12/2017,13:30,BTC,Long,SL,-1.0,3h,614.98,STRUCTURAL_SL
23,EMA-Cross-H4F,14/12/2017,12:30,BTC,Long,SL,-1.0,1h,316.21,STRUCTURAL_SL
24,EMA-Cross-H4F,14/12/2017,18:30,BTC,Long,SL,-1.0,0h,149.02,STRUCTURAL_SL
25,EMA-Cross-H4F,15/12/2017,00:30,BTC,Long,TP,3.01,106h,486.12,H1_EMA100
26,EMA-Cross-H4F,04/01/2018,21:00,BTC,Long,TP,12.1,69h,82.19,H1_EMA100
27,EMA-Cross-H4F,13/02/2018,21:30,BTC,Long,SL,-1.0,0h,95.69,STRUCTURAL_SL
28,EMA-Cross-H4F,14/02/2018,03:00,BTC,Long,TP,10.07,170h,209.88,H1_EMA100
29,EMA-Cross-H4F,01/03/2018,10:30,BTC,Long,TP,2.09,120h,125.82,H1_EMA100
30,EMA-Cross-H4F,23/03/2018,21:00,BTC,Long,TP,0.99,25h,65.1,H1_EMA100
31,EMA-Cross-H4F,17/04/2018,10:00,BTC,Long,SL,-1.0,0h,20.39,STRUCTURAL_SL
32,EMA-Cross-H4F,18/04/2018,09:30,BTC,Long,SL,-0.63,5h,229.17,H1_EMA100
33,EMA-Cross-H4F,23/04/2018,04:00,BTC,Long,SL,-1.0,0h,45.66,STRUCTURAL_SL
34,EMA-Cross-H4F,23/04/2018,07:00,BTC,Long,SL,-1.0,12h,46.79,STRUCTURAL_SL
35,EMA-Cross-H4F,26/04/2018,22:00,BTC,Long,SL,-0.46,23h,274.67,H1_EMA100
36,EMA-Cross-H4F,28/04/2018,09:30,BTC,Long,SL,-0.27,46h,186.01,H1_EMA100
